TimeStamp_UTC; check_isWFon[-]; check_WindInSector[-]; check_all[-]; avg_inflowState[-]; avg_inflow_AppStatus[-]; WF_status_AppStatus[-]; 
2023.10.18_09:37:03:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:04:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:05:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:06:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:07:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:08:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:09:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:10:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:11:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:12:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:13:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:14:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:15:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:16:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:17:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:18:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:19:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:20:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:21:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:22:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:23:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:24:584; 1.000000; 1.000000; 1.000000; 0.000000; 1; 1; 
2023.10.18_09:37:25:584; 1.000000; 1.000000; 1.000000; 4.000000; 1; 1; 
2023.10.18_09:37:26:584; 1.000000; 1.000000; 1.000000; 4.000000; 1; 1; 
2023.10.18_09:37:27:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:28:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:29:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:30:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:31:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:32:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:33:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:34:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:35:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:36:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:37:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:38:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:39:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:40:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:41:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:42:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:43:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
2023.10.18_09:37:44:584; 1.000000; 1.000000; 1.000000; 7.000000; 1; 1; 
