TimeStamp_UTC; WT1_NacelleDirection[deg]; WT1_isConnected[-]; WT2_NacelleDirection[deg]; WT2_isConnected[-]; WT3_NacelleDirection[deg]; WT3_isConnected[-]; mm_temperature[°C]; mm_humidity[%]; mm_pressure[Pa]; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.18_09:37:03:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.095300; 90.972700; 1003.478500; 0.036634; 8.670890; 9.254445; -0.107455; 233.430564; 
2023.10.18_09:37:04:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.097400; 90.957100; 1003.469000; 0.041310; 8.762353; 9.471640; -0.128416; 232.110092; 
2023.10.18_09:37:05:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.096300; 90.953100; 1003.494600; 0.041404; 8.758840; 9.676530; -0.164385; 231.806991; 
2023.10.18_09:37:06:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.087500; 90.921400; 1003.477800; 0.039924; 8.861967; 9.778518; -0.162372; 230.666390; 
2023.10.18_09:37:07:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.098200; 90.915600; 1003.405200; 0.031396; 8.971160; 9.667825; -0.123386; 230.058930; 
2023.10.18_09:37:08:584; 226.200000; 1; 225.683600; 1; 225.683600; 1; 8.095700; 90.925300; 1003.458700; 0.029598; 8.995453; 9.443205; -0.080141; 231.569231; 
2023.10.18_09:37:09:584; 226.200000; 1; 225.683600; 1; 225.683600; 1; 8.098000; 90.932800; 1003.331300; 0.029570; 8.916388; 9.427390; -0.091940; 231.143283; 
2023.10.18_09:37:10:584; 226.200000; 1; 225.683600; 1; 225.683600; 1; 8.090100; 90.934900; 1003.423500; 0.028086; 8.843245; 9.471002; -0.113144; 232.214677; 
2023.10.18_09:37:11:584; 226.200000; 1; 225.683600; 1; 225.683600; 1; 8.092300; 90.940000; 1003.361300; 0.039408; 8.760668; 9.439373; -0.123103; 231.312944; 
2023.10.18_09:37:12:584; 226.200000; 1; 225.683600; 1; 225.683600; 1; 8.088600; 90.923400; 1003.505600; 0.041889; 8.595108; 9.331415; -0.135602; 231.016446; 
2023.10.18_09:37:13:584; 226.200000; 1; 225.683600; 1; 225.683600; 1; 8.103300; 90.914400; 1003.320300; 0.035516; 8.473203; 9.308628; -0.155135; 230.580778; 
2023.10.18_09:37:14:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.097900; 90.943700; 1003.430900; 0.031565; 8.349703; 9.261550; -0.170994; 229.063251; 
2023.10.18_09:37:15:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.100000; 90.952000; 1003.547300; 0.031818; 8.269862; 9.007988; -0.141048; 228.634474; 
2023.10.18_09:37:16:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.096900; 90.939500; 1003.537800; 0.028863; 8.246438; 8.689762; -0.086390; 227.862950; 
2023.10.18_09:37:17:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.089100; 90.900600; 1003.509200; 0.034431; 8.321038; 8.403848; -0.016337; 228.211403; 
2023.10.18_09:37:18:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.091200; 90.870500; 1003.346600; 0.036152; 8.404842; 8.143858; 0.052041; 228.559788; 
2023.10.18_09:37:19:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.099900; 90.837600; 1003.490200; 0.035822; 8.453328; 7.945028; 0.102310; 228.481490; 
2023.10.18_09:37:20:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.101900; 90.842600; 1003.485100; 0.030347; 8.528933; 7.784617; 0.150651; 228.718817; 
2023.10.18_09:37:21:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.106800; 90.856500; 1003.491700; 0.020271; 8.586033; 7.811232; 0.156028; 228.212580; 
2023.10.18_09:37:22:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.089600; 90.847600; 1003.512200; 0.020867; 8.607863; 7.962620; 0.128549; 227.788416; 
2023.10.18_09:37:23:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.092200; 90.831600; 1003.462400; 0.021206; 8.631655; 8.225570; 0.079501; 227.154003; 
2023.10.18_09:37:24:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.093300; 90.812900; 1003.274100; 0.020941; 8.646102; 8.497450; 0.028611; 226.606953; 
2023.10.18_09:37:25:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 0.000000; 0.000000; 0.000000; -inf; -14073724692648528629820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000; 7.841708; NaN; 231.131099; 
