TimeStamp_UTC; WT1_NacelleDirection[deg]; WT1_isConnected[-]; WT2_NacelleDirection[deg]; WT2_isConnected[-]; WT3_NacelleDirection[deg]; WT3_isConnected[-]; mm_temperature[°C]; mm_humidity[%]; mm_pressure[Pa]; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.18_09:36:03:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.029100; 91.250800; 1003.348800; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.18_09:36:04:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.043200; 91.256300; 1003.450700; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.18_09:36:05:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.038100; 91.276400; 1003.156900; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 
2023.10.18_09:36:06:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.037700; 91.302700; 1003.254300; 5.430612; 0.374407; 0.318490; 0.266857; 244.485250; 
2023.10.18_09:36:07:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.055900; 91.277300; 1003.471200; 2.018515; 2.379777; 1.848000; 0.417238; 244.318631; 
2023.10.18_09:36:08:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.052000; 91.265100; 1003.471200; 1.326192; 4.357848; 3.213178; 0.502722; 244.398378; 
2023.10.18_09:36:09:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.055800; 91.225700; 1003.547300; 0.944037; 6.379350; 4.648997; 0.522020; 245.171893; 
2023.10.18_09:36:10:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.063800; 91.196600; 1003.522400; 0.660844; 8.353505; 6.038738; 0.535336; 245.274197; 
2023.10.18_09:36:11:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.052900; 91.177200; 1003.350300; 0.396362; 10.310662; 7.604432; 0.502276; 245.461828; 
2023.10.18_09:36:12:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.058800; 91.159600; 1003.598600; 0.025948; 12.003057; 8.993592; 0.476212; 245.314105; 
2023.10.18_09:36:13:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.058600; 91.116900; 1003.555400; 0.030188; 12.096342; 9.238448; 0.444668; 245.143581; 
2023.10.18_09:36:14:584; 226.200000; 1; 225.675100; 1; 225.675100; 1; 8.059700; 91.086900; 1003.470400; 0.032116; 12.216378; 9.661308; 0.387122; 244.612364; 
2023.10.18_09:36:15:584; 226.200000; 1; 225.675100; 1; 225.675100; 1; 8.060100; 91.052700; 1003.378100; 0.032814; 12.246642; 10.059875; 0.324510; 243.875608; 
2023.10.18_09:36:16:584; 226.200000; 1; 225.675100; 1; 225.675100; 1; 8.062300; 91.079900; 1003.493900; 0.031787; 12.277308; 10.502558; 0.257589; 242.629862; 
2023.10.18_09:36:17:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.065300; 91.153900; 1003.296100; 0.027395; 12.326020; 10.783143; 0.220624; 240.841407; 
2023.10.18_09:36:18:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.063400; 91.198200; 1003.352500; 0.028342; 12.270787; 11.047415; 0.173270; 239.560093; 
2023.10.18_09:36:19:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.068400; 91.213800; 1003.472600; 0.026696; 12.185338; 11.223275; 0.135685; 238.854120; 
2023.10.18_09:36:20:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.075200; 91.189500; 1003.490900; 0.022278; 12.087220; 11.239680; 0.119937; 238.430818; 
2023.10.18_09:36:21:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.071500; 91.147200; 1003.489500; 0.024867; 11.965082; 11.007490; 0.137620; 237.526975; 
2023.10.18_09:36:22:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.084500; 91.097000; 1003.538500; 0.033484; 11.833333; 11.019795; 0.117510; 237.328039; 
2023.10.18_09:36:23:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.077200; 91.071400; 1003.326900; 0.053947; 11.581690; 11.118775; 0.067296; 237.935364; 
2023.10.18_09:36:24:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.076800; 91.092100; 1003.438900; 0.059516; 11.576858; 11.073155; 0.073390; 239.072940; 
2023.10.18_09:36:25:584; 226.200000; 1; 225.680700; 1; 225.680700; 1; 8.072300; 91.075300; 1003.403000; 0.069693; 11.695710; 11.088925; 0.087893; 239.159067; 
2023.10.18_09:36:26:584; 226.200000; 1; 225.677900; 1; 225.677900; 1; 8.075700; 91.049600; 1003.579600; 0.072462; 11.748983; 11.142470; 0.087444; 239.536263; 
