TimeStamp_UTC; WT1_Timestamp_UTC[-]; WT1_GeneratorSpeed[RPM]; WT1_ConverterTorque[Nm]; WT1_PitchAngle[deg]; WT1_PitchAngle1[deg]; WT1_PitchAngle2[deg]; WT1_PitchAngle3[deg]; WT1_Power[kW]; WT1_RotorRpm[RPM]; WT1_TurbineState[-]; WT1_WindSpeed[m/s]; WT1_YawError[deg]; WT1_ref_signal[-]; WT2_Timestamp_UTC[-]; WT2_GeneratorSpeed[RPM]; WT2_ConverterTorque[Nm]; WT2_PitchAngle[deg]; WT2_PitchAngle1[deg]; WT2_PitchAngle2[deg]; WT2_PitchAngle3[deg]; WT2_Power[kW]; WT2_RotorRpm[RPM]; WT2_TurbineState[-]; WT2_WindSpeed[m/s]; WT2_YawError[deg]; WT2_ref_signal[-]; WT3_Timestamp_UTC[-]; WT3_GeneratorSpeed[RPM]; WT3_ConverterTorque[Nm]; WT3_PitchAngle[deg]; WT3_PitchAngle1[deg]; WT3_PitchAngle2[deg]; WT3_PitchAngle3[deg]; WT3_Power[kW]; WT3_RotorRpm[RPM]; WT3_TurbineState[-]; WT3_WindSpeed[m/s]; WT3_YawError[deg]; WT3_ref_signal[-]; WT1_X_vibration[m/s2]; WT1_Y_vibration[m/s2]; WT1_Z_vibration[m/s2]; WT2_X_vibration[m/s2]; WT2_Y_vibration[m/s2]; WT2_Z_vibration[m/s2]; WT3_X_vibration[m/s2]; WT3_Y_vibration[m/s2]; WT3_Z_vibration[m/s2]; mm_Timestamp_UTC[-]; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; mm_wd_60m[deg]; loads_Timestamp_UTC[-]; wt1_blade1_root_edge[Nm]; wt1_blade1_root_flap[Nm]; wt1_blade2_root_edge[Nm]; wt1_blade2_root_flap[Nm]; wt1_blade3_root_edge[Nm]; wt1_blade3_root_flap[Nm]; wt2_blade1_root_edge[Nm]; wt2_blade1_root_flap[Nm]; wt2_blade2_root_edge[Nm]; wt2_blade2_root_flap[Nm]; wt2_blade3_root_edge[Nm]; wt2_blade3_root_flap[Nm]; wt3_blade1_root_edge[Nm]; wt3_blade1_root_flap[Nm]; wt3_blade2_root_edge[Nm]; wt3_blade2_root_flap[Nm]; wt3_blade3_root_edge[Nm]; wt3_blade3_root_flap[Nm]; wt1_blade1_IP[Nm]; wt1_blade2_IP[Nm]; wt1_blade3_IP[Nm]; wt1_blade1_OOP[Nm]; wt1_blade2_OOP[Nm]; wt1_blade3_OOP[Nm]; loads_process_AppStatus[-]; 
2023.10.18_09:37:03:584; 29-Mar-2021 00:01:15:209; 952.300000; 2460.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2529.000000; 9.817000; 1; 10.188000; -14.070100; 0.771940; 29-Mar-2021 00:01:15:209; 1163.000000; 4335.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5444.000000; 11.990000; 1; 7.736600; -13.824000; 0.076437; 29-Mar-2021 00:01:15:209; 1141.000000; 3400.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4187.000000; 11.760000; 1; 8.716800; -13.065800; 0.297640; 0.926930; 0.160860; 0.049682; 0.618510; 0.894690; 0.496690; 0.535940; 0.918150; 0.808570; 29-Mar-2021 00:01:18:298; 9.244300; 9.536900; 226.972000; 225.803600; 29-Mar-2021 00:01:05:505; -1881.000000; 5908.000000; 1002.000000; 7098.000000; 2976.000000; 6678.000000; -790.400000; 11040.000000; 3495.000000; 9983.000000; 478.400000; 9191.000000; 2126.000000; 8106.000000; -1254.000000; 10050.000000; 2267.000000; 11160.000000; 5957.000000; -1789.000000; 6800.000000; 775.700000; 6769.000000; 3168.000000; 1; 
2023.10.18_09:37:03:684; 29-Mar-2021 00:01:15:308; 952.900000; 2391.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2460.000000; 9.824000; 1; 11.100000; -14.177500; 0.709710; 29-Mar-2021 00:01:15:308; 1163.000000; 4366.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5482.000000; 11.990000; 1; 7.902300; -14.105500; 0.929810; 29-Mar-2021 00:01:15:308; 1140.000000; 3539.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4357.000000; 11.750000; 1; 8.251300; -13.144900; 0.802080; 0.425690; 0.751150; 0.432630; 0.455490; 0.348370; 0.931090; 0.293050; 0.598800; 0.003634; 29-Mar-2021 00:01:18:397; 9.411100; 9.515000; 226.093000; 226.766500; 29-Mar-2021 00:01:05:604; -2005.000000; 5885.000000; 1214.000000; 7354.000000; 2789.000000; 6674.000000; -538.000000; 11120.000000; 3619.000000; 10300.000000; 87.910000; 8797.000000; 2053.000000; 8899.000000; -1312.000000; 9899.000000; 2473.000000; 11100.000000; 5908.000000; -1881.000000; 7098.000000; 1002.000000; 6678.000000; 2976.000000; 1; 
2023.10.18_09:37:03:784; 29-Mar-2021 00:01:15:407; 952.900000; 2339.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2407.000000; 9.824000; 1; 11.276000; -14.016500; 0.789890; 29-Mar-2021 00:01:15:407; 1163.000000; 4366.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5480.000000; 11.990000; 1; 8.010100; -14.238900; 0.403280; 29-Mar-2021 00:01:15:407; 1141.000000; 3690.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4546.000000; 11.770000; 1; 8.405500; -13.627100; 0.074529; 0.982110; 0.657930; 0.055564; 0.911180; 0.537810; 0.155410; 0.396080; 0.290510; 0.526120; 29-Mar-2021 00:01:18:505; 9.110300; 9.599800; 226.246800; 224.653700; 29-Mar-2021 00:01:05:713; -2061.000000; 6056.000000; 1462.000000; 7164.000000; 2645.000000; 6742.000000; -294.000000; 10890.000000; 3609.000000; 10600.000000; -114.500000; 8500.000000; 1916.000000; 9271.000000; -1390.000000; 9702.000000; 2665.000000; 10050.000000; 5885.000000; -2005.000000; 7354.000000; 1214.000000; 6674.000000; 2789.000000; 1; 
2023.10.18_09:37:03:884; 29-Mar-2021 00:01:15:505; 952.800000; 2346.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2413.000000; 9.822000; 1; 11.948000; -13.583000; 0.322900; 29-Mar-2021 00:01:15:505; 1162.000000; 4343.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5449.000000; 11.980000; 1; 8.092000; -14.139300; 0.660180; 29-Mar-2021 00:01:15:505; 1143.000000; 3648.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4501.000000; 11.780000; 1; 9.075700; -13.959300; 0.043681; 0.027915; 0.677120; 0.612730; 0.743800; 0.958100; 0.388450; 0.192490; 0.141240; 0.919150; 29-Mar-2021 00:01:18:604; 9.047500; 9.356400; 226.312800; 229.135200; 29-Mar-2021 00:01:05:812; -2056.000000; 6220.000000; 1716.000000; 6700.000000; 2500.000000; 6837.000000; -181.700000; 10780.000000; 3788.000000; 11000.000000; -352.500000; 8737.000000; 1635.000000; 9435.000000; -1373.000000; 9541.000000; 2794.000000; 8957.000000; 6056.000000; -2061.000000; 7164.000000; 1462.000000; 6742.000000; 2645.000000; 1; 
2023.10.18_09:37:03:984; 29-Mar-2021 00:01:15:604; 952.800000; 2369.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2437.000000; 9.823000; 1; 10.432000; -13.274900; 0.307690; 29-Mar-2021 00:01:15:604; 1161.000000; 4329.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5428.000000; 11.970000; 1; 8.177800; -13.633700; 0.481710; 29-Mar-2021 00:01:15:604; 1143.000000; 3469.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4280.000000; 11.780000; 1; 8.592600; -13.422800; 0.032532; 0.849950; 0.347860; 0.452250; 0.379320; 0.565990; 0.123630; 0.364750; 0.637340; 0.569630; 29-Mar-2021 00:01:18:703; 9.252500; 9.274400; 226.115000; 230.422800; 29-Mar-2021 00:01:05:911; -2057.000000; 6300.000000; 1934.000000; 6551.000000; 2270.000000; 6921.000000; -7.445000; 10490.000000; 3955.000000; 10850.000000; -720.000000; 9035.000000; 1355.000000; 9544.000000; -1178.000000; 9576.000000; 2763.000000; 8413.000000; 6220.000000; -2056.000000; 6700.000000; 1716.000000; 6837.000000; 2500.000000; 1; 
2023.10.18_09:37:04:084; 29-Mar-2021 00:01:15:713; 952.900000; 2361.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2429.000000; 9.824000; 1; 10.416000; -12.906800; 0.385800; 29-Mar-2021 00:01:15:713; 1161.000000; 4424.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5546.000000; 11.970000; 1; 8.277000; -13.102200; 0.387880; 29-Mar-2021 00:01:15:713; 1142.000000; 3478.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4289.000000; 11.770000; 1; 8.427300; -12.988800; 0.079709; 0.021802; 0.783260; 0.494200; 0.730700; 0.667940; 0.407800; 0.929320; 0.612770; 0.949110; 29-Mar-2021 00:01:18:802; 9.151400; 9.553300; 226.137000; 237.655800; 29-Mar-2021 00:01:06:011; -2092.000000; 6162.000000; 2124.000000; 6889.000000; 1979.000000; 6754.000000; 266.800000; 10340.000000; 3970.000000; 10890.000000; -1087.000000; 8890.000000; 1073.000000; 9194.000000; -916.400000; 9890.000000; 2781.000000; 8106.000000; 6300.000000; -2057.000000; 6551.000000; 1934.000000; 6921.000000; 2270.000000; 1; 
2023.10.18_09:37:04:184; 29-Mar-2021 00:01:15:812; 952.800000; 2342.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2409.000000; 9.823000; 1; 9.964000; -12.750000; 0.812000; 29-Mar-2021 00:01:15:812; 1162.000000; 4523.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5672.000000; 11.980000; 1; 8.522200; -12.076500; 0.091895; 29-Mar-2021 00:01:15:812; 1142.000000; 3624.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4469.000000; 11.780000; 1; 9.196900; -11.305400; 0.756660; 0.149100; 0.082439; 0.276700; 0.259950; 0.479120; 0.360440; 0.298060; 0.193210; 0.882460; 29-Mar-2021 00:01:18:901; 9.290800; 9.824000; 226.137000; 239.900300; 29-Mar-2021 00:01:06:110; -2033.000000; 6144.000000; 2330.000000; 7221.000000; 1671.000000; 6269.000000; 627.800000; 10910.000000; 3827.000000; 10980.000000; -1311.000000; 8384.000000; 723.800000; 8737.000000; -687.800000; 10190.000000; 2946.000000; 7884.000000; 6162.000000; -2092.000000; 6889.000000; 2124.000000; 6754.000000; 1979.000000; 1; 
2023.10.18_09:37:04:284; 29-Mar-2021 00:01:15:911; 952.700000; 2365.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2433.000000; 9.822000; 1; 10.216000; -12.512900; 0.774920; 29-Mar-2021 00:01:15:911; 1162.000000; 4470.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5610.000000; 11.980000; 1; 8.570100; -11.385500; 0.505110; 29-Mar-2021 00:01:15:911; 1143.000000; 3613.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4459.000000; 11.780000; 1; 8.741700; -11.154200; 0.037589; 0.141340; 0.817940; 0.567130; 0.593300; 0.476010; 0.869540; 0.705380; 0.046545; 0.490010; 29-Mar-2021 00:01:19:001; 9.031000; 9.433000; 226.115000; 239.008000; 29-Mar-2021 00:01:06:209; -1922.000000; 6261.000000; 2575.000000; 7189.000000; 1398.000000; 6036.000000; 974.900000; 11390.000000; 3585.000000; 10710.000000; -1350.000000; 8439.000000; 457.400000; 8955.000000; -531.400000; 10140.000000; 3047.000000; 7776.000000; 6144.000000; -2033.000000; 7221.000000; 2330.000000; 6269.000000; 1671.000000; 1; 
2023.10.18_09:37:04:384; 29-Mar-2021 00:01:16:011; 952.800000; 2365.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2432.000000; 9.823000; 1; 10.736000; -12.334500; 0.124150; 29-Mar-2021 00:01:16:011; 1162.000000; 4376.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5492.000000; 11.980000; 1; 8.468300; -10.500600; 0.230170; 29-Mar-2021 00:01:16:011; 1143.000000; 3482.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4296.000000; 11.780000; 1; 8.984300; -10.289300; 0.497900; 0.987920; 0.231490; 0.087935; 0.269240; 0.411720; 0.426760; 0.935730; 0.373700; 0.626540; 29-Mar-2021 00:01:19:100; 8.886100; 9.561500; 226.246800; 234.055800; 29-Mar-2021 00:01:06:308; -1896.000000; 6225.000000; 2829.000000; 7042.000000; 1149.000000; 6270.000000; 1311.000000; 11310.000000; 3401.000000; 10390.000000; -1466.000000; 9237.000000; 374.900000; 10060.000000; -461.600000; 9968.000000; 3060.000000; 7780.000000; 6261.000000; -1922.000000; 7189.000000; 2575.000000; 6036.000000; 1398.000000; 1; 
2023.10.18_09:37:04:484; 29-Mar-2021 00:01:16:110; 952.700000; 2304.000000; 0.000000; 0.000000; 0.000000; 0.000000; 2370.000000; 9.821000; 1; 10.520000; -11.969300; 0.817940; 29-Mar-2021 00:01:16:110; 1162.000000; 4387.000000; 0.000000; 0.000000; 0.000000; 0.000000; 5504.000000; 11.980000; 1; 8.381800; -10.002300; 0.818430; 29-Mar-2021 00:01:16:110; 1142.000000; 3516.000000; 0.000000; 0.000000; 0.000000; 0.000000; 4334.000000; 11.770000; 1; 8.802400; -9.348500; 0.964600; 0.885250; 0.646800; 0.985530; 0.699020; 0.022537; 0.527030; 0.239000; 0.399070; 0.460900; 29-Mar-2021 00:01:19:199; 8.888900; 9.247100; 230.707600; 232.935500; 29-Mar-2021 00:01:06:406; -1878.000000; 6158.000000; 2999.000000; 6767.000000; 882.000000; 6512.000000; 1622.000000; 10470.000000; 3244.000000; 10330.000000; -1665.000000; 9865.000000; 272.200000; 10990.000000; -332.300000; 9680.000000; 3086.000000; 7437.000000; 6225.000000; -1896.000000; 7042.000000; 2829.000000; 6270.000000; 1149.000000; 1; 
