TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:24:08:745; 9.296300; 8.856100; 227.565300; 
2023.10.20_16:24:08:845; 9.348200; 9.186900; 227.587300; 
2023.10.20_16:24:08:945; 9.665400; 9.829500; 227.741100; 
2023.10.20_16:24:09:045; 9.665400; 9.829500; 227.741100; 
2023.10.20_16:24:09:145; 9.490400; 9.788500; 228.510200; 
2023.10.20_16:24:09:245; 9.665400; 9.922400; 228.510200; 
2023.10.20_16:24:09:345; 9.665400; 9.922400; 228.510200; 
2023.10.20_16:24:09:445; 9.610700; 9.701000; 229.542900; 
2023.10.20_16:24:09:545; 9.610700; 9.701000; 229.542900; 
2023.10.20_16:24:09:645; 9.635300; 9.670900; 229.455000; 
2023.10.20_16:24:09:745; 9.635300; 9.670900; 229.455000; 
2023.10.20_16:24:09:845; 9.526000; 9.629900; 229.389100; 
2023.10.20_16:24:09:945; 9.526000; 9.629900; 229.389100; 
2023.10.20_16:24:10:045; 9.526000; 9.629900; 229.389100; 
2023.10.20_16:24:10:145; 9.181400; 9.203300; 229.367100; 
2023.10.20_16:24:10:245; 9.181400; 9.203300; 229.367100; 
2023.10.20_16:24:10:345; 9.181400; 9.203300; 229.367100; 
2023.10.20_16:24:10:445; 9.181400; 9.203300; 229.367100; 
2023.10.20_16:24:10:545; 9.484900; 9.249800; 228.642000; 
2023.10.20_16:24:10:645; 9.364600; 9.129500; 228.664000; 
2023.10.20_16:24:10:745; 9.247100; 9.167800; 229.345200; 
2023.10.20_16:24:10:845; 9.233400; 8.785000; 229.345200; 
2023.10.20_16:24:10:945; 9.230700; 9.066600; 229.301200; 
2023.10.20_16:24:11:045; 8.984600; 9.200600; 229.323200; 
2023.10.20_16:24:11:145; 9.337300; 8.836900; 229.674800; 
2023.10.20_16:24:11:245; 9.337300; 8.836900; 229.674800; 
2023.10.20_16:24:11:345; 9.342800; 8.815000; 229.630800; 
2023.10.20_16:24:11:445; 9.129500; 8.935300; 229.608900; 
2023.10.20_16:24:11:545; 9.058400; 8.798600; 227.807000; 
2023.10.20_16:24:11:645; 8.943600; 8.722100; 228.070700; 
2023.10.20_16:24:11:745; 9.156800; 8.872500; 228.048700; 
2023.10.20_16:24:11:845; 8.965400; 9.031000; 228.026700; 
2023.10.20_16:24:11:945; 9.728300; 8.771300; 228.092700; 
2023.10.20_16:24:12:045; 9.085700; 8.629100; 228.092700; 
2023.10.20_16:24:12:145; 8.946300; 8.514300; 228.092700; 
2023.10.20_16:24:12:245; 9.022800; 8.612700; 228.070700; 
2023.10.20_16:24:12:345; 9.020100; 8.921700; 225.016300; 
2023.10.20_16:24:12:445; 9.052900; 8.913500; 224.862500; 
2023.10.20_16:24:12:545; 8.910700; 9.052900; 224.928400; 
2023.10.20_16:24:12:645; 9.208800; 9.178700; 224.906400; 
2023.10.20_16:24:12:745; 8.981800; 9.058400; 230.531800; 
2023.10.20_16:24:12:845; 9.132200; 9.077500; 229.696800; 
2023.10.20_16:24:12:945; 8.902500; 8.798600; 229.806600; 
2023.10.20_16:24:13:045; 8.883400; 8.883400; 229.850600; 
2023.10.20_16:24:13:145; 8.607200; 8.771300; 229.894500; 
2023.10.20_16:24:13:245; 8.497900; 8.645500; 231.213000; 
2023.10.20_16:24:13:345; 8.601800; 8.637300; 231.103100; 
2023.10.20_16:24:13:445; 8.426800; 8.194400; 231.147000; 
2023.10.20_16:24:13:545; 8.235400; 8.273600; 231.169000; 
