TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:24:08:745; 3.180526; 1.052976; 0.904085; 0.251514; 238.987438; 
2023.10.20_16:24:09:745; 3.149628; 1.068918; 0.920153; 0.247241; 238.798185; 
2023.10.20_16:24:10:745; 3.119670; 1.084549; 0.935779; 0.243412; 238.629015; 
2023.10.20_16:24:11:745; 3.090622; 1.099857; 0.950639; 0.240541; 238.464626; 
2023.10.20_16:24:12:745; 3.062330; 1.115040; 0.965389; 0.237759; 238.265909; 
2023.10.20_16:24:13:745; 3.035216; 1.129452; 0.979824; 0.234460; 238.136510; 
2023.10.20_16:24:14:745; 3.008642; 1.143925; 0.994114; 0.231578; 238.051842; 
2023.10.20_16:24:15:745; 2.982426; 1.158678; 1.010078; 0.226438; 237.915659; 
2023.10.20_16:24:16:745; 2.956823; 1.173361; 1.024789; 0.223359; 237.829132; 
2023.10.20_16:24:17:745; 2.931935; 1.187753; 1.038113; 0.222159; 237.788977; 
2023.10.20_16:24:18:745; 2.907407; 1.202380; 1.052728; 0.219288; 237.712425; 
2023.10.20_16:24:19:745; 2.883849; 1.216281; 1.068285; 0.214050; 237.681704; 
2023.10.20_16:24:20:745; 2.860490; 1.230592; 1.084696; 0.208197; 237.595359; 
2023.10.20_16:24:21:745; 2.837491; 1.245038; 1.101895; 0.201497; 237.479568; 
2023.10.20_16:24:22:745; 2.814479; 1.260407; 1.117830; 0.198051; 237.411389; 
2023.10.20_16:24:23:745; 2.792105; 1.275363; 1.133536; 0.194492; 237.276000; 
2023.10.20_16:24:24:745; 2.770314; 1.290010; 1.149949; 0.189615; 237.183960; 
2023.10.20_16:24:25:745; 2.748596; 1.305371; 1.166135; 0.186084; 237.056236; 
2023.10.20_16:24:26:745; 2.727455; 1.320357; 1.180716; 0.184416; 237.013913; 
2023.10.20_16:24:27:745; 2.706861; 1.335006; 1.195929; 0.181499; 236.969310; 
2023.10.20_16:24:28:745; 2.686809; 1.349307; 1.212293; 0.176656; 236.929958; 
2023.10.20_16:24:29:745; 2.667091; 1.363646; 1.228311; 0.172440; 236.860501; 
2023.10.20_16:24:30:745; 2.648118; 1.377222; 1.243817; 0.168087; 236.709570; 
2023.10.20_16:24:31:745; 2.629474; 1.390768; 1.259326; 0.163790; 236.597011; 
2023.10.20_16:24:32:745; 2.610881; 1.404801; 1.273677; 0.161660; 236.482183; 
2023.10.20_16:24:33:745; 2.592906; 1.418244; 1.287931; 0.159011; 236.381797; 
2023.10.20_16:24:34:745; 2.575140; 1.431830; 1.301559; 0.157375; 236.300099; 
2023.10.20_16:24:35:745; 2.557235; 1.446327; 1.314356; 0.157853; 236.200405; 
2023.10.20_16:24:36:745; 2.539671; 1.460700; 1.327145; 0.158192; 236.102231; 
2023.10.20_16:24:37:745; 2.522382; 1.475086; 1.340026; 0.158425; 236.014884; 
2023.10.20_16:24:38:745; 2.505402; 1.489387; 1.352676; 0.158841; 235.910466; 
2023.10.20_16:24:39:745; 2.488671; 1.503727; 1.365619; 0.158940; 235.836256; 
2023.10.20_16:24:40:745; 2.472345; 1.517711; 1.379966; 0.156968; 235.728595; 
2023.10.20_16:24:41:745; 2.455999; 1.532400; 1.394745; 0.155284; 235.609186; 
2023.10.20_16:24:42:745; 2.439923; 1.547034; 1.410212; 0.152770; 235.481668; 
2023.10.20_16:24:43:745; 2.424154; 1.561494; 1.425823; 0.149955; 235.372419; 
2023.10.20_16:24:44:745; 2.408777; 1.575517; 1.440812; 0.147453; 235.304065; 
2023.10.20_16:24:45:745; 2.393814; 1.589063; 1.453713; 0.146870; 235.309195; 
2023.10.20_16:24:46:745; 2.378592; 1.603974; 1.466675; 0.147634; 235.320328; 
2023.10.20_16:24:47:745; 2.363444; 1.619465; 1.480009; 0.148560; 235.309400; 
2023.10.20_16:24:48:745; 2.348924; 1.633564; 1.493480; 0.147913; 235.292305; 
2023.10.20_16:24:49:745; 2.334404; 1.648332; 1.505784; 0.149225; 235.356412; 
2023.10.20_16:24:50:745; 2.319965; 1.663529; 1.518042; 0.150988; 235.417286; 
2023.10.20_16:24:51:745; 2.305614; 1.679405; 1.530197; 0.153502; 235.518716; 
2023.10.20_16:24:52:745; 2.291433; 1.695448; 1.542507; 0.155969; 235.599173; 
2023.10.20_16:24:53:745; 2.277485; 1.711268; 1.555379; 0.157581; 235.672923; 
2023.10.20_16:24:54:745; 2.263708; 1.727216; 1.568329; 0.159206; 235.715769; 
2023.10.20_16:24:55:745; 2.250129; 1.743184; 1.580566; 0.161565; 235.724015; 
2023.10.20_16:24:56:745; 2.236803; 1.758706; 1.593146; 0.163111; 235.754500; 
2023.10.20_16:24:57:745; 2.223564; 1.774846; 1.605585; 0.165352; 235.774853; 
2023.10.20_16:24:58:745; 2.210559; 1.790613; 1.618644; 0.166579; 235.764931; 
2023.10.20_16:24:59:745; 2.197769; 1.806083; 1.631900; 0.167315; 235.764416; 
2023.10.20_16:25:00:745; 2.185297; 1.820833; 1.645213; 0.167329; 235.745179; 
2023.10.20_16:25:01:745; 2.173062; 1.835238; 1.658198; 0.167359; 235.723503; 
2023.10.20_16:25:02:745; 2.161205; 1.848836; 1.671560; 0.166298; 235.692663; 
2023.10.20_16:25:03:745; 2.149439; 1.862592; 1.684867; 0.165445; 235.703013; 
2023.10.20_16:25:04:745; 2.137867; 1.876171; 1.698144; 0.164480; 235.728757; 
2023.10.20_16:25:05:745; 2.126242; 1.890429; 1.712227; 0.163344; 235.754599; 
2023.10.20_16:25:06:745; 2.114508; 1.906032; 1.727452; 0.162300; 235.775163; 
2023.10.20_16:25:07:745; 2.102823; 1.922542; 1.742857; 0.161882; 235.811414; 
