TimeStamp_UTC; avg_inflowState[-]; avg_inflow_AppStatus[-]; 
2023.10.20_16:27:08:745; 7.000000; 1; 
2023.10.20_16:27:09:745; 7.000000; 1; 
2023.10.20_16:27:10:745; 7.000000; 1; 
2023.10.20_16:27:11:745; 7.000000; 1; 
2023.10.20_16:27:12:745; 7.000000; 1; 
2023.10.20_16:27:13:745; 7.000000; 1; 
2023.10.20_16:27:14:745; 7.000000; 1; 
2023.10.20_16:27:15:745; 7.000000; 1; 
2023.10.20_16:27:16:745; 7.000000; 1; 
2023.10.20_16:27:17:745; 7.000000; 1; 
2023.10.20_16:27:18:745; 7.000000; 1; 
2023.10.20_16:27:19:745; 7.000000; 1; 
2023.10.20_16:27:20:745; 7.000000; 1; 
2023.10.20_16:27:21:745; 7.000000; 1; 
2023.10.20_16:27:22:745; 7.000000; 1; 
2023.10.20_16:27:23:745; 7.000000; 1; 
2023.10.20_16:27:24:745; 7.000000; 1; 
2023.10.20_16:27:25:745; 7.000000; 1; 
2023.10.20_16:27:26:745; 7.000000; 1; 
2023.10.20_16:27:27:745; 7.000000; 1; 
2023.10.20_16:27:28:745; 7.000000; 1; 
2023.10.20_16:27:29:745; 7.000000; 1; 
2023.10.20_16:27:30:745; 7.000000; 1; 
2023.10.20_16:27:31:745; 7.000000; 1; 
2023.10.20_16:27:32:745; 7.000000; 1; 
2023.10.20_16:27:33:745; 7.000000; 1; 
2023.10.20_16:27:34:745; 7.000000; 1; 
2023.10.20_16:27:35:745; 7.000000; 1; 
2023.10.20_16:27:36:745; 7.000000; 1; 
2023.10.20_16:27:37:745; 7.000000; 1; 
2023.10.20_16:27:38:745; 7.000000; 1; 
2023.10.20_16:27:39:745; 7.000000; 1; 
2023.10.20_16:27:40:745; 7.000000; 1; 
2023.10.20_16:27:41:745; 7.000000; 1; 
2023.10.20_16:27:42:745; 7.000000; 1; 
2023.10.20_16:27:43:745; 7.000000; 1; 
2023.10.20_16:27:44:745; 7.000000; 1; 
2023.10.20_16:27:45:745; 7.000000; 1; 
2023.10.20_16:27:46:745; 7.000000; 1; 
2023.10.20_16:27:47:745; 7.000000; 1; 
2023.10.20_16:27:48:745; 7.000000; 1; 
2023.10.20_16:27:49:745; 7.000000; 1; 
2023.10.20_16:27:50:745; 7.000000; 1; 
2023.10.20_16:27:51:745; 7.000000; 1; 
2023.10.20_16:27:52:745; 7.000000; 1; 
2023.10.20_16:27:53:745; 7.000000; 1; 
2023.10.20_16:27:54:745; 7.000000; 1; 
2023.10.20_16:27:55:745; 7.000000; 1; 
2023.10.20_16:27:56:745; 7.000000; 1; 
2023.10.20_16:27:57:745; 7.000000; 1; 
2023.10.20_16:27:58:745; 7.000000; 1; 
2023.10.20_16:27:59:745; 7.000000; 1; 
2023.10.20_16:28:00:745; 7.000000; 1; 
2023.10.20_16:28:01:745; 7.000000; 1; 
2023.10.20_16:28:02:745; 7.000000; 1; 
2023.10.20_16:28:03:745; 7.000000; 1; 
2023.10.20_16:28:04:745; 7.000000; 1; 
2023.10.20_16:28:05:745; 7.000000; 1; 
2023.10.20_16:28:06:745; 7.000000; 1; 
2023.10.20_16:28:07:745; 7.000000; 1; 
