TimeStamp_UTC; avg_TI[-]; avg_ws_110m[m/s]; avg_ws_60m[m/s]; avg_shearExp[-]; avg_wd_110m[deg]; 
2023.10.20_16:26:08:745; 1.586353; 2.874220; 2.590591; 0.171406; 236.329780; 
2023.10.20_16:26:09:745; 1.579918; 2.892257; 2.603364; 0.173613; 236.345889; 
2023.10.20_16:26:10:745; 1.573506; 2.909615; 2.617752; 0.174392; 236.366272; 
2023.10.20_16:26:11:745; 1.567132; 2.926608; 2.632553; 0.174697; 236.375115; 
2023.10.20_16:26:12:745; 1.560816; 2.943122; 2.646136; 0.175490; 236.364053; 
2023.10.20_16:26:13:745; 1.554568; 2.958787; 2.659642; 0.175848; 236.358282; 
2023.10.20_16:26:14:745; 1.548408; 2.973790; 2.674584; 0.174950; 236.352489; 
2023.10.20_16:26:15:745; 1.542276; 2.989016; 2.689519; 0.174189; 236.363184; 
2023.10.20_16:26:16:745; 1.536170; 3.004508; 2.704241; 0.173711; 236.381471; 
2023.10.20_16:26:17:745; 1.530083; 3.020557; 2.718376; 0.173900; 236.409152; 
2023.10.20_16:26:18:745; 1.524055; 3.036262; 2.732596; 0.173847; 236.433847; 
2023.10.20_16:26:19:745; 1.518056; 3.052287; 2.745873; 0.174535; 236.458783; 
2023.10.20_16:26:20:745; 1.512123; 3.067772; 2.757960; 0.175638; 236.446447; 
2023.10.20_16:26:21:745; 1.506314; 3.082188; 2.771242; 0.175446; 236.442765; 
2023.10.20_16:26:22:745; 1.500515; 3.096908; 2.783881; 0.175799; 236.428431; 
2023.10.20_16:26:23:745; 1.494724; 3.112026; 2.795901; 0.176725; 236.412356; 
2023.10.20_16:26:24:745; 1.489017; 3.126553; 2.807450; 0.177608; 236.396223; 
2023.10.20_16:26:25:745; 1.483446; 3.140189; 2.819916; 0.177478; 236.397240; 
2023.10.20_16:26:26:745; 1.477918; 3.153762; 2.834491; 0.176089; 236.397891; 
2023.10.20_16:26:27:745; 1.472369; 3.167785; 2.848881; 0.175054; 236.403109; 
2023.10.20_16:26:28:745; 1.466804; 3.182377; 2.862552; 0.174738; 236.383391; 
2023.10.20_16:26:29:745; 1.461188; 3.199048; 2.876145; 0.175542; 236.353005; 
2023.10.20_16:26:30:745; 1.455602; 3.215763; 2.889893; 0.176272; 236.328549; 
2023.10.20_16:26:31:745; 1.450057; 3.232061; 2.902477; 0.177444; 236.289656; 
2023.10.20_16:26:32:745; 1.444575; 3.247546; 2.915542; 0.177921; 236.253502; 
2023.10.20_16:26:33:745; 1.439136; 3.262845; 2.929808; 0.177621; 236.226151; 
2023.10.20_16:26:34:745; 1.433744; 3.277928; 2.944215; 0.177137; 236.205800; 
2023.10.20_16:26:35:745; 1.428358; 3.293593; 2.959153; 0.176654; 236.190748; 
2023.10.20_16:26:36:745; 1.422993; 3.309586; 2.973753; 0.176526; 236.181576; 
2023.10.20_16:26:37:745; 1.417671; 3.325289; 2.988526; 0.176159; 236.174068; 
2023.10.20_16:26:38:745; 1.412369; 3.342032; 3.002456; 0.176773; 236.179748; 
2023.10.20_16:26:39:745; 1.407098; 3.359100; 3.016741; 0.177347; 236.174492; 
2023.10.20_16:26:40:745; 1.401865; 3.375248; 3.031451; 0.177233; 236.175550; 
2023.10.20_16:26:41:745; 1.396683; 3.390794; 3.045605; 0.177130; 236.197532; 
2023.10.20_16:26:42:745; 1.391526; 3.406398; 3.059611; 0.177135; 236.220403; 
2023.10.20_16:26:43:745; 1.386406; 3.421866; 3.075034; 0.176314; 236.258047; 
2023.10.20_16:26:44:745; 1.381314; 3.437371; 3.090476; 0.175508; 236.295654; 
2023.10.20_16:26:45:745; 1.376253; 3.452870; 3.104946; 0.175224; 236.334151; 
2023.10.20_16:26:46:745; 1.371209; 3.468748; 3.118804; 0.175446; 236.375773; 
2023.10.20_16:26:47:745; 1.366191; 3.484773; 3.132746; 0.175692; 236.423991; 
2023.10.20_16:26:48:745; 1.361205; 3.500653; 3.146686; 0.175868; 236.454346; 
2023.10.20_16:26:49:745; 1.356271; 3.515938; 3.160651; 0.175750; 236.476242; 
2023.10.20_16:26:50:745; 1.351395; 3.530699; 3.173791; 0.175817; 236.507758; 
2023.10.20_16:26:51:745; 1.346597; 3.544802; 3.187127; 0.175476; 236.557168; 
2023.10.20_16:26:52:745; 1.341839; 3.558767; 3.200714; 0.174945; 236.587764; 
2023.10.20_16:26:53:745; 1.337144; 3.572333; 3.214363; 0.174202; 236.620276; 
2023.10.20_16:26:54:745; 1.332488; 3.585804; 3.228303; 0.173272; 236.647380; 
2023.10.20_16:26:55:745; 1.327780; 3.600063; 3.242028; 0.172820; 236.677060; 
2023.10.20_16:26:56:745; 1.323056; 3.614915; 3.255835; 0.172601; 236.706643; 
2023.10.20_16:26:57:745; 1.318312; 3.631005; 3.268889; 0.173326; 236.741722; 
2023.10.20_16:26:58:745; 1.313594; 3.647186; 3.281623; 0.174248; 236.768472; 
2023.10.20_16:26:59:745; 1.308900; 3.664299; 3.293892; 0.175814; 236.777592; 
2023.10.20_16:27:00:745; 1.304227; 3.680762; 3.305840; 0.177236; 236.782073; 
2023.10.20_16:27:01:745; 1.299580; 3.697523; 3.317936; 0.178706; 236.781856; 
2023.10.20_16:27:02:745; 1.294966; 3.713608; 3.330779; 0.179494; 236.789785; 
2023.10.20_16:27:03:745; 1.290368; 3.730038; 3.344359; 0.180064; 236.793902; 
2023.10.20_16:27:04:745; 1.285797; 3.746880; 3.357478; 0.181038; 236.786606; 
2023.10.20_16:27:05:745; 1.281251; 3.763678; 3.371299; 0.181640; 236.780603; 
2023.10.20_16:27:06:745; 1.276754; 3.781573; 3.385072; 0.182739; 236.786996; 
2023.10.20_16:27:07:745; 1.272281; 3.799477; 3.399031; 0.183743; 236.797879; 
