TimeStamp_UTC; avg_inflowState[-]; avg_inflow_AppStatus[-]; 
2023.10.20_16:28:08:745; 7.000000; 1; 
2023.10.20_16:28:09:745; 7.000000; 1; 
2023.10.20_16:28:10:745; 7.000000; 1; 
2023.10.20_16:28:11:745; 7.000000; 1; 
2023.10.20_16:28:12:745; 7.000000; 1; 
2023.10.20_16:28:13:745; 7.000000; 1; 
2023.10.20_16:28:14:745; 7.000000; 1; 
2023.10.20_16:28:15:745; 7.000000; 1; 
2023.10.20_16:28:16:745; 7.000000; 1; 
2023.10.20_16:28:17:745; 7.000000; 1; 
2023.10.20_16:28:18:745; 7.000000; 1; 
2023.10.20_16:28:19:745; 7.000000; 1; 
2023.10.20_16:28:20:745; 7.000000; 1; 
2023.10.20_16:28:21:745; 7.000000; 1; 
2023.10.20_16:28:22:745; 7.000000; 1; 
2023.10.20_16:28:23:745; 7.000000; 1; 
2023.10.20_16:28:24:745; 7.000000; 1; 
2023.10.20_16:28:25:745; 7.000000; 1; 
2023.10.20_16:28:26:745; 7.000000; 1; 
2023.10.20_16:28:27:745; 7.000000; 1; 
2023.10.20_16:28:28:745; 7.000000; 1; 
2023.10.20_16:28:29:745; 7.000000; 1; 
2023.10.20_16:28:30:745; 7.000000; 1; 
2023.10.20_16:28:31:745; 7.000000; 1; 
2023.10.20_16:28:32:745; 7.000000; 1; 
2023.10.20_16:28:33:745; 7.000000; 1; 
2023.10.20_16:28:34:745; 7.000000; 1; 
2023.10.20_16:28:35:745; 7.000000; 1; 
2023.10.20_16:28:36:745; 7.000000; 1; 
2023.10.20_16:28:37:745; 7.000000; 1; 
2023.10.20_16:28:38:745; 7.000000; 1; 
2023.10.20_16:28:39:745; 7.000000; 1; 
2023.10.20_16:28:40:745; 7.000000; 1; 
2023.10.20_16:28:41:745; 7.000000; 1; 
2023.10.20_16:28:42:745; 7.000000; 1; 
2023.10.20_16:28:43:745; 7.000000; 1; 
2023.10.20_16:28:44:745; 7.000000; 1; 
2023.10.20_16:28:45:745; 7.000000; 1; 
2023.10.20_16:28:46:745; 7.000000; 1; 
2023.10.20_16:28:47:745; 7.000000; 1; 
2023.10.20_16:28:48:745; 7.000000; 1; 
2023.10.20_16:28:49:745; 7.000000; 1; 
2023.10.20_16:28:50:745; 7.000000; 1; 
2023.10.20_16:28:51:745; 7.000000; 1; 
2023.10.20_16:28:52:745; 7.000000; 1; 
2023.10.20_16:28:53:745; 7.000000; 1; 
2023.10.20_16:28:54:745; 7.000000; 1; 
2023.10.20_16:28:55:745; 7.000000; 1; 
2023.10.20_16:28:56:745; 7.000000; 1; 
2023.10.20_16:28:57:745; 7.000000; 1; 
2023.10.20_16:28:58:745; 7.000000; 1; 
2023.10.20_16:28:59:745; 7.000000; 1; 
2023.10.20_16:29:00:745; 7.000000; 1; 
2023.10.20_16:29:01:745; 7.000000; 1; 
2023.10.20_16:29:02:745; 7.000000; 1; 
2023.10.20_16:29:03:745; 7.000000; 1; 
2023.10.20_16:29:04:745; 7.000000; 1; 
2023.10.20_16:29:05:745; 7.000000; 1; 
2023.10.20_16:29:06:745; 7.000000; 1; 
2023.10.20_16:29:07:745; 7.000000; 1; 
