TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:36:08:745; 9.402900; 8.074000; 234.509100; 
2023.10.20_16:36:08:845; 9.022800; 7.838900; 234.377200; 
2023.10.20_16:36:08:945; 8.856100; 8.005700; 234.311300; 
2023.10.20_16:36:09:045; 8.981800; 7.920900; 234.311300; 
2023.10.20_16:36:09:145; 8.694700; 8.071300; 234.135500; 
2023.10.20_16:36:09:245; 8.869700; 7.694000; 234.201400; 
2023.10.20_16:36:09:345; 8.708400; 7.838900; 234.201400; 
2023.10.20_16:36:09:445; 8.834200; 8.167000; 234.179500; 
2023.10.20_16:36:09:545; 8.700200; 7.628400; 231.169000; 
2023.10.20_16:36:09:645; 8.790400; 7.663900; 231.520600; 
2023.10.20_16:36:09:745; 8.604500; 7.661200; 231.586500; 
2023.10.20_16:36:09:845; 8.754900; 7.663900; 231.586500; 
2023.10.20_16:36:09:945; 8.752200; 7.628400; 231.300900; 
2023.10.20_16:36:10:045; 8.681100; 8.120500; 230.773500; 
2023.10.20_16:36:10:145; 8.656400; 8.057600; 230.751500; 
2023.10.20_16:36:10:245; 8.651000; 8.363900; 230.729500; 
2023.10.20_16:36:10:345; 8.448600; 8.311900; 230.795500; 
2023.10.20_16:36:10:445; 8.445900; 8.301000; 232.311700; 
2023.10.20_16:36:10:545; 8.260000; 8.812300; 232.289700; 
2023.10.20_16:36:10:645; 8.377500; 8.752200; 232.311700; 
2023.10.20_16:36:10:745; 8.476000; 8.850600; 232.267700; 
2023.10.20_16:36:10:845; 8.511500; 8.533400; 232.751100; 
2023.10.20_16:36:10:945; 8.399400; 8.571700; 232.773100; 
2023.10.20_16:36:11:045; 8.448600; 8.303700; 232.773100; 
2023.10.20_16:36:11:145; 8.938100; 8.331100; 232.773100; 
2023.10.20_16:36:11:245; 8.465000; 8.219000; 235.783600; 
2023.10.20_16:36:11:345; 8.588100; 8.038500; 235.893400; 
2023.10.20_16:36:11:445; 8.415800; 8.287300; 235.893400; 
2023.10.20_16:36:11:545; 8.596300; 8.221700; 235.849500; 
2023.10.20_16:36:11:645; 8.495100; 8.221700; 235.805500; 
2023.10.20_16:36:11:745; 8.856100; 8.221700; 235.783600; 
2023.10.20_16:36:11:845; 8.702900; 8.112300; 235.805500; 
2023.10.20_16:36:11:945; 9.252500; 8.344700; 235.805500; 
2023.10.20_16:36:12:045; 8.949000; 8.224400; 238.596200; 
2023.10.20_16:36:12:145; 9.405600; 8.292800; 238.508300; 
2023.10.20_16:36:12:245; 8.990000; 8.068600; 238.508300; 
2023.10.20_16:36:12:345; 9.014600; 8.260000; 238.530300; 
2023.10.20_16:36:12:445; 9.167800; 8.109600; 238.244600; 
2023.10.20_16:36:12:545; 9.178700; 8.191600; 236.948200; 
2023.10.20_16:36:12:645; 9.195100; 8.481500; 237.058000; 
2023.10.20_16:36:12:745; 9.129500; 8.473300; 237.036100; 
2023.10.20_16:36:12:845; 9.104900; 8.519700; 237.014100; 
2023.10.20_16:36:12:945; 9.233400; 8.336500; 237.431600; 
2023.10.20_16:36:13:045; 8.962700; 8.481500; 237.475600; 
2023.10.20_16:36:13:145; 9.102100; 8.208000; 237.475600; 
2023.10.20_16:36:13:245; 9.011900; 8.350200; 237.475600; 
2023.10.20_16:36:13:345; 9.219700; 8.164300; 239.892700; 
2023.10.20_16:36:13:445; 9.189600; 8.128700; 239.738900; 
2023.10.20_16:36:13:545; 9.042000; 8.476000; 239.716900; 
2023.10.20_16:36:13:645; 9.017400; 8.547100; 239.716900; 
2023.10.20_16:36:13:745; 8.921700; 9.028300; 230.839400; 
2023.10.20_16:36:13:845; 9.214200; 8.976400; 231.718400; 
2023.10.20_16:36:13:945; 8.992800; 9.102100; 231.894200; 
2023.10.20_16:36:14:045; 9.126700; 9.036500; 231.916100; 
2023.10.20_16:36:14:145; 9.058400; 9.085700; 232.135900; 
2023.10.20_16:36:14:245; 9.569700; 9.370100; 232.179800; 
2023.10.20_16:36:14:345; 9.236100; 9.277100; 232.201800; 
2023.10.20_16:36:14:445; 9.189600; 9.523200; 232.201800; 
2023.10.20_16:36:14:545; 9.550600; 9.534200; 232.531400; 
2023.10.20_16:36:14:645; 9.550600; 9.334600; 232.729200; 
2023.10.20_16:36:14:745; 9.739200; 9.739200; 232.729200; 
