modelTag,TagName,VarName,IO,PortNumber,PortName,Create,VarType,parent_App,parent_TagName,Action,
calc_avg,ws_110m,ws_110m,input,1,input_ws_110m,1,double,host_calc_avg,mm_ws_110m,read,
calc_avg,ws_60m,ws_60m,input,2,input_ws_60m,1,double,host_calc_avg,mm_ws_60m,read,
calc_avg,wd_110m,wd_110m,input,3,input_wd_110m,1,double,host_calc_avg,mm_wd_110m,read,
calc_avg,avg_TI,avg_TI,output,1,output_TI,1,double,host_calc_avg,avg_TI,write,
calc_avg,avg_ws_110m,avg_ws_110m,output,2,output_ws_110m,1,double,host_calc_avg,avg_ws_110m,write,
calc_avg,avg_ws_60m,avg_ws_60m,output,3,output_ws_60m,1,double,host_calc_avg,avg_ws_60m,write,
calc_avg,avg_shearExp,avg_shearExp,output,4,output_shearExp,1,double,host_calc_avg,avg_shearExp,write,
calc_avg,avg_wd_110m,avg_wd_110m,output,5,output_wd_110m,1,double,host_calc_avg,avg_wd_110m,write,
calc_avg,inflowState,inflowState,output,6,output_InflowOK,1,double,host_calc_avg,avg_inflowState,write,
calc_avg,AppStatus,AppStatus,status,,AppStatus,1,uint16,host_calc_avg,avg_inflow_AppStatus,write,
