N°,KeyName,Description
1,Load button,"Button to load an ""inputfile.xlsx"" "
2,"""New project"" switch",Button to create a new project. Must specify project folder and name
3,Add Submodel button,"Button to add a new submodel to the project, which will appear in the SUBMODEL panel"
4,Submodel panel,Overview of the project SUBMODEL apps
5,Add ITFC button,"Button to add a new ITFC to the project, which will appear in the ITFC panel"
6,ITFC panel,Overview of the project ITFC apps
7,Add HOST button,"Button to add a new HOST to the project, which will appear in the HOST panel"
8,HOST panel,Overview of the project HOST apps
9,Save button,"Button to save current data to ""inputfile.xlsx"""
10,Generate PLC button,Button to generate PLC code of selected applications
11,Refresh button,Button to refresh the application panels
